month_year,attack_type,time_start,time_end,attack_duration_in_hours
2022-10,longest,2022-10-17,2022-10-17 10:00:00,10.0
2022-10,shortest,2022-10-06,2022-10-06 02:00:00,2.0
2022-12,longest,2022-12-14,2022-12-14 09:15:00,9.25
2022-12,shortest,2022-12-19,2022-12-19 08:00:00,8.0
2023-01,longest,2023-01-02,2023-01-02 08:00:00,8.0
2023-01,shortest,2023-01-02,2023-01-02 08:00:00,8.0
2023-04,longest,2023-04-22,2023-04-23 10:30:00,34.5
2023-04,shortest,2023-04-21,2023-04-21 03:00:00,3.0
2023-05,longest,2023-05-28,2023-05-28 08:00:00,8.0
2023-05,shortest,2023-05-08,2023-05-08 03:00:00,3.0
2023-06,longest,2023-06-30,2023-06-30 08:00:00,8.0
2023-06,shortest,2023-06-30,2023-06-30 08:00:00,8.0
2023-07,longest,2023-07-30,2023-07-30 08:00:00,8.0
2023-07,shortest,2023-07-30,2023-07-30 08:00:00,8.0
2023-08,longest,2023-08-30,2023-08-30 08:00:00,8.0
2023-08,shortest,2023-08-30,2023-08-30 08:00:00,8.0
2023-09,longest,2023-09-30,2023-09-30 08:00:00,8.0
2023-09,shortest,2023-09-30,2023-09-30 08:00:00,8.0
2023-10,longest,2023-10-24,2023-10-24 09:00:00,9.0
2023-10,shortest,2023-10-28,2023-10-28 01:00:00,1.0
2023-11,longest,2023-11-28,2023-11-28 09:00:00,9.0
2023-11,shortest,2023-11-09,2023-11-09 02:30:00,2.5
2023-12,longest,2023-12-31,2023-12-31 08:00:00,8.0
2023-12,shortest,2023-12-31,2023-12-31 08:00:00,8.0
2024-01,longest,2024-01-31,2024-01-31 08:00:00,8.0
2024-01,shortest,2024-01-31,2024-01-31 08:00:00,8.0
2024-02,longest,2024-02-28,2024-02-28 08:00:00,8.0
2024-02,shortest,2024-02-28,2024-02-28 08:00:00,8.0
2024-03,longest,2024-03-31,2024-03-31 08:00:00,8.0
2024-03,shortest,2024-03-31,2024-03-31 08:00:00,8.0
2024-04,longest,2024-04-30,2024-04-30 08:00:00,8.0
2024-04,shortest,2024-04-30,2024-04-30 08:00:00,8.0
2024-05,longest,2024-05-31,2024-05-31 08:00:00,8.0
2024-05,shortest,2024-05-31,2024-05-31 08:00:00,8.0
2024-06,longest,2024-06-28,2024-06-28 18:00:00,18.0
2024-06,shortest,2024-06-30,2024-06-30 08:00:00,8.0
2024-07,longest,2024-07-07,2024-07-08 08:00:00,32.0
2024-07,shortest,2024-07-31,2024-07-31 08:00:00,8.0
2024-08,longest,2024-08-22,2024-08-22 11:15:00,11.25
2024-08,shortest,2024-08-25,2024-08-25 08:00:00,8.0
